run_id,timestamp,random_seed,seed_group,workload_type,traffic_intensity,cache_size_mb,cache_policy,memory_allocation_mb,memory_policy,thread_count,cpu_cores,queue_depth,io_parallelism,request_size_kb,io_scheduler,read_write_ratio,block_size_kb,garbage_collection,gc_aggressiveness,over_provisioning_pct,compression_enabled,compression_level,checksum_enabled,encryption_enabled,adaptive_scheduler,dynamic_cache,predictive_prefetch,advanced_gc,thermal_policy,thermal_limit_c,power_profile,scheduler_type,load_balancing,recovery_mode,automatic_recovery,retry_strategy,max_retries,timing_jitter_ms,timeout_jitter_ms,request_arrival_rate,burst_probability,stress_level,ambient_temperature_c,background_cpu_load_pct,background_memory_load_pct,power_variation_pct,voltage_variation_pct,fault_injection_type,fault_injection_probability,fault_injection_severity,transient_fault,cpu_utilization_pct,memory_utilization_pct,cache_hit_rate_pct,queue_utilization_pct,average_latency_ms,p95_latency_ms,p99_latency_ms,power_consumption_w,device_temperature_c,thermal_throttle_pct,throughput_gbps,execution_time_sec,error_count,timeout_count,recovery_events,data_integrity_errors,watchdog_events,pass_fail,failure_type,reliability_score,performance_score,execution_log,config_aux_01,config_aux_02,config_aux_03,config_aux_04,config_aux_05,config_aux_06,config_aux_07,config_aux_08,config_aux_09,config_aux_10,config_aux_11,config_aux_12,config_aux_13,config_aux_14,config_aux_15,config_aux_16,config_aux_17,config_aux_18,config_aux_19,config_aux_20,config_aux_21,config_aux_22,config_aux_23,config_aux_24,config_aux_25,config_aux_26,config_aux_27,config_aux_28,config_aux_29,config_aux_30,config_aux_31,config_aux_32,config_aux_33,config_aux_34,config_aux_35,config_aux_36,config_aux_37,config_aux_38,config_aux_39,config_aux_40
11,2026-01-01 2:30:00,52648,8,RANDOM_READ,LOW,256,STATIC,1024,ADAPTIVE,31,8,16,12,32,STATIC,94.09772152,128,1,4,17.30336216,1,8,1,1,1,0,1,0,AGGRESSIVE,90,BALANCED,PRIORITY,DYNAMIC,BASIC,0,NONE,7,8.131373354,111.6584455,1431.43596,0.09848398575,1,21.07050474,8.174918721,22.1906475,1.119026149,1.226116542,NONE,0.002491718842,4,0,38.31748919,47.82772733,61.42098599,15.31321383,1.9062405,2.720914755,3.136263774,9.708474838,31.51196114,0,7.363121888,433.2987723,0,0,0,0,0,PASS,NONE,0.9594235465,93.62617832,[2026-01-01 02:30:00] INFO  Test execution started | [2026-01-01 02:30:00] INFO  Workload initialized: RANDOM_READ | [2026-01-01 02:30:00] INFO  Queue depth: 16 | [2026-01-01 02:30:00] INFO  Cache hit rate: 61.4% | [2026-01-01 02:30:00] INFO  Throughput: 7.36 GB/s | [2026-01-01 02:30:00] PASS  Test execution completed,10,86,5,20,23,66,34,32,51,4,15,37,35,0,23,12,66,96,25,91,75,0,17,86,10,39,42,4,49,48,89,52,95,34,63,92,55,64,87,73
12,2026-01-01 2:45:00,97563,3,MIXED_IO,MEDIUM,128,STATIC,4096,ADAPTIVE,48,16,4,62,16,STATIC,41.1354612,32,0,4,27.64610405,0,4,1,1,1,0,1,1,BALANCED,75,PERFORMANCE,DYNAMIC,STATIC,ADVANCED,0,FIXED,9,37.84727663,84.57429785,2224.001447,0.1313657835,3,28.05731771,16.69488676,25.79231948,6.120684315,2.356082662,NONE,0.01586111356,2,0,70.8945901,59.59105432,59.30724696,25.44907142,1.98241618,3.511843957,4.075596069,17.12195639,50.09640315,0,7.437622872,439.3240518,0,0,0,0,0,PASS,NONE,0.9819359557,95.66603449,[2026-01-01 02:45:00] INFO  Test execution started | [2026-01-01 02:45:00] INFO  Workload initialized: MIXED_IO | [2026-01-01 02:45:00] INFO  Queue depth: 4 | [2026-01-01 02:45:00] INFO  Cache hit rate: 59.3% | [2026-01-01 02:45:00] INFO  Throughput: 7.44 GB/s | [2026-01-01 02:45:00] PASS  Test execution completed,98,8,99,6,77,11,34,11,56,52,26,25,66,3,58,44,76,85,8,12,74,44,82,9,88,41,86,24,48,47,49,100,64,73,44,63,8,31,45,79
13,2026-01-01 3:00:00,73576,16,RANDOM_READ,HIGH,2048,STATIC,4096,STATIC,14,8,192,41,1024,DYNAMIC,86.93068348,4,1,5,22.33055679,1,7,0,1,1,0,0,1,RELAXED,75,EFFICIENCY,PRIORITY,DYNAMIC,ADVANCED,1,NONE,4,35.06536782,9.187336305,2439.780555,0.2252392248,2,36.00094462,0.05151116934,19.11882642,-2.430066296,-0.2287380089,NONE,0.004994776174,6,1,61.72234813,81.47702762,81.93469884,84.50395162,2.975581266,5.898672657,9.561102783,11.71210489,45.64047791,0,9.955573419,431.3664846,1,0,0,0,0,PASS,NONE,0.7336418122,100,[2026-01-01 03:00:00] INFO  Test execution started | [2026-01-01 03:00:00] INFO  Workload initialized: RANDOM_READ | [2026-01-01 03:00:00] INFO  Queue depth: 192 | [2026-01-01 03:00:00] INFO  Cache hit rate: 81.9% | [2026-01-01 03:00:00] INFO  Throughput: 9.96 GB/s | [2026-01-01 03:00:00] PASS  Test execution completed,22,15,56,77,95,17,11,16,97,13,1,99,41,34,53,14,16,79,10,54,79,49,81,69,22,97,20,98,13,98,3,37,49,39,99,25,30,28,62,13
14,2026-01-01 3:15:00,76114,14,HEAVY_LOAD,HIGH,128,ADAPTIVE,8192,DYNAMIC,32,8,96,18,64,DYNAMIC,10.06569997,4,1,10,9.859758979,0,6,1,0,1,1,0,1,AGGRESSIVE,75,EFFICIENCY,FIFO,DYNAMIC,ADVANCED,1,EXPONENTIAL,4,11.21746687,25.38386306,6091.199864,0.2254428531,4,30.84960717,42.44628981,10.48789316,-7.060591235,0.8423916226,NONE,0.01636500954,2,1,74.61480196,59.57432189,78.70964903,59.73082275,1.949884272,3.450282814,4.595263826,11.51343846,42.17581862,0,9.33155278,432.0568104,0,0,0,0,0,PASS,NONE,1,100,[2026-01-01 03:15:00] INFO  Test execution started | [2026-01-01 03:15:00] INFO  Workload initialized: HEAVY_LOAD | [2026-01-01 03:15:00] INFO  Queue depth: 96 | [2026-01-01 03:15:00] INFO  Cache hit rate: 78.7% | [2026-01-01 03:15:00] INFO  Throughput: 9.33 GB/s | [2026-01-01 03:15:00] PASS  Test execution completed,2,58,44,25,5,49,22,66,60,99,91,31,32,40,69,56,29,3,62,22,65,50,21,11,46,8,51,95,94,70,16,16,35,44,92,31,96,16,33,95
15,2026-01-01 3:30:00,71748,8,RANDOM_READ,MEDIUM,64,ADAPTIVE,1024,DYNAMIC,16,32,1,44,1024,DYNAMIC,85.04534031,512,0,6,10.57104706,0,4,0,1,1,1,0,0,RELAXED,70,BALANCED,PRIORITY,DYNAMIC,BASIC,1,NONE,8,10.93001093,68.33372072,6075.753823,0.1261425035,4,22.50029772,44.51610052,23.57852098,0.4050532957,0.4899577905,NONE,0.01167104037,5,0,70.81784667,52.58672002,63.57556545,21.38410761,1.889027701,3.432277373,4.901152333,14.78396449,44.68029233,0,7.253266661,446.0335302,0,0,0,0,0,PASS,NONE,0.9579375547,92.34985687,[2026-01-01 03:30:00] INFO  Test execution started | [2026-01-01 03:30:00] INFO  Workload initialized: RANDOM_READ | [2026-01-01 03:30:00] INFO  Queue depth: 1 | [2026-01-01 03:30:00] INFO  Cache hit rate: 63.6% | [2026-01-01 03:30:00] INFO  Throughput: 7.25 GB/s | [2026-01-01 03:30:00] PASS  Test execution completed,16,4,38,93,61,48,4,72,36,48,4,2,28,100,43,93,0,25,62,67,23,55,98,93,45,63,77,12,81,40,4,58,97,41,40,45,13,54,98,85
16,2026-01-01 3:45:00,78607,7,SEQUENTIAL_WRITE,HIGH,512,ADAPTIVE,2048,ADAPTIVE,51,4,16,37,512,DYNAMIC,23.10550579,8,1,9,12.18220412,1,6,1,1,1,1,0,1,BALANCED,90,EFFICIENCY,DYNAMIC,DYNAMIC,BASIC,1,FIXED,3,11.03316692,22.87855695,7474.696994,0.09217394837,5,27.40584707,42.88396237,40.92917327,2.59878683,1.04670868,NONE,0.01495465184,7,0,81.95598307,72.72994812,71.48272167,30.20171478,1.517929388,2.204194271,3.542849199,13.85583915,47.76926624,0,8.766894145,431.8236988,0,0,0,0,0,PASS,NONE,0.9724206339,100,[2026-01-01 03:45:00] INFO  Test execution started | [2026-01-01 03:45:00] INFO  Workload initialized: SEQUENTIAL_WRITE | [2026-01-01 03:45:00] INFO  Queue depth: 16 | [2026-01-01 03:45:00] INFO  Cache hit rate: 71.5% | [2026-01-01 03:45:00] INFO  Throughput: 8.77 GB/s | [2026-01-01 03:45:00] PASS  Test execution completed,34,36,97,35,5,98,63,40,80,87,66,77,28,70,80,28,62,13,63,32,84,49,60,6,26,95,25,59,22,50,33,54,93,22,81,14,76,69,83,89
17,2026-01-01 4:00:00,51323,3,MIXED_IO,MEDIUM,1024,ADAPTIVE,1024,ADAPTIVE,55,8,4,19,8,DYNAMIC,35.83201557,256,1,5,14.36469749,0,9,1,0,1,1,0,1,BALANCED,90,PERFORMANCE,FIFO,STATIC,BASIC,1,EXPONENTIAL,0,64.02727572,63.37729049,1400.091342,0.2279119309,8,31.36698045,46.74474664,1.487090319,-0.261054451,0.1351431093,NONE,0.008848174403,3,0,72.76383275,61.33034501,86.28322169,20.02463981,1.055402442,2.026177141,3.414336997,14.77397311,54.77187153,0,8.552442629,433.0909168,1,0,0,0,0,PASS,NONE,0.9866192829,98.64405694,[2026-01-01 04:00:00] INFO  Test execution started | [2026-01-01 04:00:00] INFO  Workload initialized: MIXED_IO | [2026-01-01 04:00:00] INFO  Queue depth: 4 | [2026-01-01 04:00:00] INFO  Cache hit rate: 86.3% | [2026-01-01 04:00:00] INFO  Throughput: 8.55 GB/s | [2026-01-01 04:00:00] PASS  Test execution completed,33,22,43,87,70,85,67,9,35,45,51,4,49,18,25,24,25,57,48,9,76,33,42,0,13,64,77,74,42,3,57,40,61,42,76,44,39,12,74,49
18,2026-01-01 4:15:00,12812,12,MIXED_IO,HIGH,128,ADAPTIVE,12288,DYNAMIC,35,32,32,9,4,DYNAMIC,68.72942083,64,1,6,13.69091958,1,2,0,1,1,1,0,0,BALANCED,85,BALANCED,DYNAMIC,DYNAMIC,BASIC,1,NONE,7,58.57528576,115.9742827,8142.942806,0.04192636485,3,37.93123551,33.66163854,2.154640431,-6.98425106,-0.6540550282,NONE,0.009262189092,7,1,72.0516893,58.18064104,74.51715259,35.30366329,1.423203094,2.469714166,4.04137777,10.89448522,49.24303959,0,8.997440355,431.7029644,0,0,0,0,0,PASS,NONE,0.9741064561,100,[2026-01-01 04:15:00] INFO  Test execution started | [2026-01-01 04:15:00] INFO  Workload initialized: MIXED_IO | [2026-01-01 04:15:00] INFO  Queue depth: 32 | [2026-01-01 04:15:00] INFO  Cache hit rate: 74.5% | [2026-01-01 04:15:00] INFO  Throughput: 9.00 GB/s | [2026-01-01 04:15:00] PASS  Test execution completed,38,54,17,72,57,11,41,12,8,63,25,69,11,48,46,65,62,27,77,97,85,94,36,88,72,35,90,9,24,37,29,71,1,75,58,46,43,70,51,14
19,2026-01-01 4:30:00,83975,15,MIXED_IO,LOW,256,ADAPTIVE,8192,ADAPTIVE,40,4,96,44,4,STATIC,58.01679757,1024,1,4,12.52380952,0,2,0,1,1,1,1,0,AGGRESSIVE,85,PERFORMANCE,DYNAMIC,DYNAMIC,BASIC,1,EXPONENTIAL,2,106.8599646,71.72207051,1100.143812,0.02339906799,5,27.18250573,13.75894143,27.87730947,-2.673842552,0.4276871275,NONE,0.01054835946,1,0,52.79211312,59.17025532,72.74711802,24.62217377,2.936438569,4.699504913,7.492621853,14.35265386,50.08957854,0,9.911195624,433.6176605,0,0,0,0,0,PASS,NONE,0.9633419517,100,[2026-01-01 04:30:00] INFO  Test execution started | [2026-01-01 04:30:00] INFO  Workload initialized: MIXED_IO | [2026-01-01 04:30:00] INFO  Queue depth: 96 | [2026-01-01 04:30:00] INFO  Cache hit rate: 72.7% | [2026-01-01 04:30:00] INFO  Throughput: 9.91 GB/s | [2026-01-01 04:30:00] PASS  Test execution completed,36,92,74,57,86,99,48,3,65,50,70,68,25,89,38,14,31,41,94,80,29,43,61,15,11,92,77,76,44,6,86,72,26,19,46,40,52,2,62,39
20,2026-01-01 4:45:00,45039,19,RANDOM_WRITE,MEDIUM,1024,PREDICTIVE,2048,STATIC,48,4,4,25,16,STATIC,28.77040026,256,1,5,18.97609378,0,9,1,1,1,1,0,0,AGGRESSIVE,80,BALANCED,DYNAMIC,DYNAMIC,BASIC,1,FIXED,7,49.78969171,25.18902097,3554.777052,0.04630434997,6,20.06603138,13.03130697,31.04844673,3.703872254,-0.3510419444,NONE,0.01143509048,3,0,68.17764502,49.00780988,79.52018262,17.02230834,2.146490267,4.166400835,7.278269236,12.06969196,40.53274897,0,7.433442617,445.2095574,0,0,0,0,0,PASS,NONE,0.9744946066,90.5239458,[2026-01-01 04:45:00] INFO  Test execution started | [2026-01-01 04:45:00] INFO  Workload initialized: RANDOM_WRITE | [2026-01-01 04:45:00] INFO  Queue depth: 4 | [2026-01-01 04:45:00] INFO  Cache hit rate: 79.5% | [2026-01-01 04:45:00] INFO  Throughput: 7.43 GB/s | [2026-01-01 04:45:00] PASS  Test execution completed,56,51,83,15,87,36,66,99,2,46,21,67,16,41,38,100,62,64,70,68,29,36,63,57,1,1,25,24,82,79,12,60,49,21,76,35,64,81,72,28
21,2026-01-01 5:00:00,50036,16,RECOVERY_TEST,HIGH,2048,ADAPTIVE,8192,STATIC,27,4,256,17,512,STATIC,58.00855334,1024,1,6,14.57812249,1,4,0,1,1,1,0,0,BALANCED,90,PERFORMANCE,DYNAMIC,STATIC,NONE,1,NONE,2,18.56943798,41.91397586,5242.060712,0.09235903249,4,20.19367013,7.208223088,18.74639445,0.6569585858,-0.03777708346,NONE,0.01332242593,5,1,64.51478038,78.85979388,92.40921082,89.28747042,3.649112263,7.034306693,9.068633417,13.25850666,34.58508925,0,9.928439638,433.5924878,1,0,0,0,0,PASS,NONE,0.7517489034,100,[2026-01-01 05:00:00] INFO  Test execution started | [2026-01-01 05:00:00] INFO  Workload initialized: RECOVERY_TEST | [2026-01-01 05:00:00] INFO  Queue depth: 256 | [2026-01-01 05:00:00] INFO  Cache hit rate: 92.4% | [2026-01-01 05:00:00] INFO  Throughput: 9.93 GB/s | [2026-01-01 05:00:00] PASS  Test execution completed,13,99,73,7,17,2,99,64,14,73,39,11,47,4,87,85,23,63,67,49,94,24,94,100,40,86,5,48,68,53,84,13,20,4,37,16,96,64,2,20
